gene	AD	CTL
ENSG00000080854	8	NA
ENSG00000100478	111	29
ENSG00000286671	256	172
ENSG00000236279	41	1
ENSG00000007168	20	63
ENSG00000136143	35	172
ENSG00000196542	98	8
ENSG00000111726	244	69
ENSG00000285844	112	200
ENSG00000260412	106	65
ENSG00000106299	135	44
ENSG00000123416	182	16
ENSG00000178951	46	2
ENSG00000132026	222	42
ENSG00000146592	19	127
ENSG00000022567	11	1
ENSG00000171303	50	65
ENSG00000164190	8	233
ENSG00000157191	108	216
ENSG00000159720	83	138
ENSG00000116254	14	1
ENSG00000154146	121	47
ENSG00000076067	2	4
ENSG00000162944	10	43
ENSG00000126822	15	150
ENSG00000242808	7	94
ENSG00000217236	13	14
ENSG00000116199	77	163
ENSG00000071991	12	99
ENSG00000141252	206	100
ENSG00000196581	48	15
ENSG00000168653	4	8
ENSG00000003147	30	16
ENSG00000145819	198	147
ENSG00000101474	118	5
ENSG00000137267	117	144
ENSG00000198478	159	102
ENSG00000140848	9	122
ENSG00000139505	18	12
ENSG00000079335	7	10
ENSG00000204789	138	242
ENSG00000183090	32	64
ENSG00000162889	13	28
ENSG00000158806	171	141
ENSG00000106477	6	NA
ENSG00000183662	155	173
ENSG00000063015	188	33
ENSG00000169884	84	68
ENSG00000099282	8	114
ENSG00000104164	90	212
ENSG00000118482	3	7
ENSG00000104738	35	64
ENSG00000072858	62	2
ENSG00000232354	5	NA
ENSG00000136518	64	40
ENSG00000090020	70	13
ENSG00000154493	30	183
ENSG00000134057	156	203
ENSG00000248485	66	243
ENSG00000173473	5	116
ENSG00000006377	9	35
ENSG00000115685	55	61
